Unnamed: 0,company,department,employee_id,age,age_when_joined,years_in_the_company,salary,annual_bonus,prior_years_experience,full_time,part_time,contractor,bonus_adicional
0,Glasses,BigData,16,41,38,3,68074.97135412665,17664.10410263048,3,0.0,0.0,1.0,567.2914279510554
1,Glasses,AI,56,44,42,2,49092.14745812178,21551.14107924464,2,0.0,0.1849913125550484,1.0,409.1012288176815
2,Cheerper,Support,59,41,40,1,40000.0,23698.878850910198,2,0.0,0.919887147856209,0.6627062500935044,333.3333333333333
3,Glasses,Design,40,39,32,7,108192.46550582472,21570.929657087025,1,0.9303959735641848,0.5462058969833635,0.0,901.6038792152061
4,Glasses,Search Engine,47,30,22,9,71291.19113156278,21565.505715498763,2,0.5254319456398212,0.9384124893746022,0.0,594.0932594296899
5,Cheerper,BigData,13,30,22,7,64959.78672958234,24792.91,2,0.0,0.6958935625503261,0.4538283101710317,541.3315560798528
6,Glasses,Design,34,30,22,7,82031.52505927328,24792.91,1,0.6619001187670831,0.3993048459676445,0.0,683.5960421606106
7,Glasses,Search Engine,53,35,30,5,40863.10989756697,9660.533707013316,4,0.1015314352967673,0.3817977481262156,0.5166031759760008,340.5259158130581
8,Cheerper,BigData,46,49,36,9,54725.12654496486,21663.42797583137,1,0.0341292738952831,1.0,0.0,456.0427212080406
9,Pear,Design,56,49,48,1,101687.75635579736,13825.94400951576,4,0.6657491728550138,0.0,0.6321760687892182,847.3979696316447
10,Cheerper,Support,30,36,24,9,75125.05310476701,16767.95195483072,3,0.3562814619250769,1.0,0.0,626.0421092063917
11,Glasses,Search Engine,31,45,40,5,84374.00043313162,17923.82928932322,2,0.1727519597306852,0.4473759646417451,0.379624955204483,703.1166702760969
12,Glasses,Search Engine,40,45,40,5,57256.14580019133,12033.81761172694,2,0.0,0.2061753311183324,0.8623785974410128,477.1345483349278
13,Pear,Design,1,38,35,4,123662.84078768674,24792.91,1,0.498319479542045,0.0,0.515803504283075,1030.5236732307228
14,Cheerper,Search Engine,25,36,29,7,106540.15446138447,12360.717932095326,5,1.0,0.1789237424587707,0.0,887.8346205115373
15,Glasses,Search Engine,36,31,24,7,48941.633404708096,23767.175341289785,1,0.0,0.5553170653397858,0.7410688703664929,407.8469450392342
