Unnamed: 0,company,department,employee_id,age,age_when_joined,years_in_the_company,salary,annual_bonus,prior_years_experience,full_time,part_time,contractor,rango_edad
0,Glasses,BigData,16,41,38,3,68074.97135412665,17664.10410263048,3,0.0,0.0,1.0,41-50
1,Glasses,AI,56,44,42,2,49092.14745812178,21551.14107924464,2,0.0,0.1849913125550484,1.0,41-50
2,Cheerper,Support,59,41,40,1,40000.0,23698.878850910198,2,0.0,0.919887147856209,0.6627062500935044,41-50
3,Glasses,Design,40,39,32,7,108192.46550582472,21570.929657087025,1,0.9303959735641848,0.5462058969833635,0.0,31-40
4,Glasses,Search Engine,47,30,22,9,71291.19113156278,21565.505715498763,2,0.5254319456398212,0.9384124893746022,0.0,21-30
5,Cheerper,BigData,13,30,22,7,64959.78672958234,24792.91,2,0.0,0.6958935625503261,0.4538283101710317,21-30
6,Glasses,Design,34,30,22,7,82031.52505927328,24792.91,1,0.6619001187670831,0.3993048459676445,0.0,21-30
7,Glasses,Search Engine,53,35,30,5,40863.10989756697,9660.533707013316,4,0.1015314352967673,0.3817977481262156,0.5166031759760008,31-40
8,Cheerper,BigData,46,49,36,9,54725.12654496486,21663.42797583137,1,0.0341292738952831,1.0,0.0,41-50
9,Pear,Design,56,49,48,1,101687.75635579736,13825.94400951576,4,0.6657491728550138,0.0,0.6321760687892182,41-50
10,Cheerper,Support,30,36,24,9,75125.05310476701,16767.95195483072,3,0.3562814619250769,1.0,0.0,31-40
11,Glasses,Search Engine,31,45,40,5,84374.00043313162,17923.82928932322,2,0.1727519597306852,0.4473759646417451,0.379624955204483,41-50
12,Glasses,Search Engine,40,45,40,5,57256.14580019133,12033.81761172694,2,0.0,0.2061753311183324,0.8623785974410128,41-50
13,Pear,Design,1,38,35,4,123662.84078768674,24792.91,1,0.498319479542045,0.0,0.515803504283075,31-40
14,Cheerper,Search Engine,25,36,29,7,106540.15446138447,12360.717932095326,5,1.0,0.1789237424587707,0.0,31-40
15,Glasses,Search Engine,36,31,24,7,48941.633404708096,23767.175341289785,1,0.0,0.5553170653397858,0.7410688703664929,31-40
16,Cheerper,Support,71,45,42,3,40000.0,15230.54690984208,3,0.0,1.0,0.5113700400775596,41-50
17,Glasses,Support,34,34,31,2,40000.0,24792.91,1,0.0,0.8407296886374822,1.0,31-40
18,Glasses,Search Engine,40,38,34,5,68196.88887122068,18198.86655808921,3,0.058019665944177,0.4815995541652028,0.4609238331348601,31-40
19,Pear,Sales,26,34,33,1,115645.63379594978,23661.838413646656,2,0.8532997189023115,0.0,1.0,31-40
20,Glasses,Design,1,30,22,7,138211.88412139163,17563.349033475686,3,0.9507018285733752,0.1019030987576868,0.0,21-30
21,Cheerper,AI,3,44,40,4,153000.0,24792.91,1,0.7676665177636945,0.7270309175229891,0.0,41-50
22,Cheerper,Support,37,41,38,3,85850.61191778477,20306.7566378958,3,0.0507185853689836,0.946419416561242,0.0024318086021536,41-50
23,Cheerper,Support,1,35,26,9,66542.95959845888,24792.91,1,0.0,1.0,0.3563409764935055,31-40
24,Glasses,AI,33,40,39,1,89401.36521758887,14636.832773791111,3,0.4384418049597214,0.0,0.6855972341117627,31-40
25,Pear,Design,70,41,38,2,45963.96144983158,17807.977046704207,2,0.1217980581135952,0.0260198306541656,0.85264116187419,41-50
26,Glasses,Search Engine,26,42,38,4,84410.50318953233,22072.74522151809,2,0.0214864084999841,0.5311750123105281,0.4473698506301291,41-50
27,Cheerper,BigData,21,48,45,3,76472.43419193132,13060.177077304088,2,0.0,0.3002987082182071,0.9421343843822804,41-50
28,Glasses,Design,66,49,48,2,107986.17424817447,11295.34821417136,3,0.7707806814683877,0.0033281765752822,0.2254118543346287,41-50
29,Pear,Sales,1,35,32,3,119108.6654107971,19921.340347500744,2,0.6414227937599644,0.0,0.4535272789176325,31-40
30,Glasses,Search Engine,47,33,31,2,88736.54864869641,15927.715198511272,5,0.8008133842770611,0.1861846869240906,0.0133077569464867,31-40
31,Glasses,Search Engine,1,34,28,5,75299.80430138076,24792.91,1,0.0,0.4911359827233051,0.9066837640955848,31-40
32,Pear,Sales,1,37,31,6,110386.55025100196,23377.174336891258,1,0.3819576024330166,0.0,0.6304046740213138,31-40
33,Glasses,AI,8,30,24,5,105486.2465870522,20334.507553378065,4,0.86758161915679,0.0442999780920167,0.0877615347828093,21-30
34,Pear,AI,27,34,30,4,91059.78921421502,13354.918165311889,3,0.6373480965073978,0.0,0.4360919659632191,31-40
35,Pear,Design,16,39,39,1,108899.47270773092,23511.43509187012,2,0.466002510897322,0.0,0.8469399855503901,31-40
36,Cheerper,Support,53,39,37,2,57027.8944043646,23482.439830966345,1,0.0,0.779373203868458,0.704132911843243,31-40
37,Cheerper,BigData,41,41,36,5,106403.81748563352,9265.654714081602,5,0.8852577148522405,0.7067105001062832,0.0,41-50
38,Glasses,BigData,1,42,34,7,98891.57784374044,9826.200490638706,4,0.5793292050546337,0.4581199718936294,0.0,41-50
