Unnamed: 0,company,department,employee_id,age,age_when_joined,years_in_the_company,salary,annual_bonus,prior_years_experience,full_time,part_time,contractor,bonus_adicional,aumento_salario,clave_compuesta,rango_edad
0,Glasses,BigData,16,41,38,3,68074.97135412665,17664.10410263048,3,0.5488135039273248,0.45118649607267525,1.0,567.2914279510554,0.0,Glasses_BigData_16,41-50
1,Glasses,AI,56,44,42,2,49092.14745812178,21551.14107924464,2,0.8150086874449516,0.1849913125550484,1.0,409.1012288176815,0.0,Glasses_AI_56,41-50
2,Cheerper,Support,59,41,40,1,40000.0,23698.878850910198,2,0.08011285214379105,0.919887147856209,0.6627062500935044,333.3333333333333,0.0,Cheerper_Support_59,41-50
3,Glasses,Design,40,39,32,7,108192.46550582472,21570.929657087025,1,0.9303959735641848,0.0696040264358152,0.0,901.6038792152061,16228.869825873706,Glasses_Design_40,31-40
4,Glasses,Search Engine,47,30,22,9,71291.19113156278,21565.505715498763,2,0.0615875106253978,0.9384124893746022,0.0,594.0932594296899,10693.678669734416,Glasses_Search Engine_47,21-30
5,Cheerper,BigData,13,30,22,7,64959.78672958234,24792.91,2,0.3041064374496739,0.6958935625503261,0.4538283101710317,541.3315560798528,9743.96800943735,Cheerper_BigData_13,21-30
6,Glasses,Design,34,30,22,7,82031.52505927328,24792.91,1,0.6619001187670831,0.3380998812329169,0.0,683.5960421606106,12304.728758890991,Glasses_Design_34,21-30
7,Glasses,Search Engine,53,35,30,5,40863.10989756697,9660.533707013316,4,0.6182022518737844,0.3817977481262156,0.5166031759760008,340.5259158130581,6129.466484635045,Glasses_Search Engine_53,31-40
8,Cheerper,BigData,46,49,36,9,54725.12654496486,21663.42797583137,1,0.0,1.0,0.0,456.0427212080406,8208.76898174473,Cheerper_BigData_46,41-50
9,Pear,Design,56,49,48,1,101687.75635579736,13825.94400951576,4,0.6657491728550138,0.3342508271449862,0.6321760687892182,847.3979696316447,0.0,Pear_Design_56,41-50
10,Cheerper,Support,30,36,24,9,75125.05310476701,16767.95195483072,3,0.0,1.0,0.0,626.0421092063917,11268.75796571505,Cheerper_Support_30,31-40
11,Glasses,Search Engine,31,45,40,5,84374.00043313162,17923.82928932322,2,0.5526240353582549,0.4473759646417451,0.379624955204483,703.1166702760969,12656.100064969742,Glasses_Search Engine_31,41-50
12,Glasses,Search Engine,40,45,40,5,57256.14580019133,12033.81761172694,2,0.7938246688816676,0.2061753311183324,0.8623785974410128,477.1345483349278,8588.421870028698,Glasses_Search Engine_40,41-50
13,Pear,Design,1,38,35,4,123662.84078768674,24792.91,1,0.498319479542045,0.5016805204579551,0.515803504283075,1030.5236732307228,18549.42611815301,Pear_Design_1,31-40
14,Cheerper,Search Engine,25,36,29,7,106540.15446138447,12360.717932095326,5,1.0,0.0,0.0,887.8346205115373,15981.02316920767,Cheerper_Search Engine_25,31-40
15,Glasses,Search Engine,36,31,24,7,48941.633404708096,23767.175341289785,1,0.44468293466021425,0.5553170653397858,0.7410688703664929,407.8469450392342,7341.245010706214,Glasses_Search Engine_36,31-40
16,Cheerper,Support,71,45,42,3,40000.0,15230.54690984208,3,0.0,1.0,0.5113700400775596,333.3333333333333,0.0,Cheerper_Support_71,41-50
